Score,ChoreographyName,DateTime
53,Doja Cat - Need to Know _ Redy Choreography,20240604_160701
5,No Lie - Sean Paul (Dua Lipa) Dance,20240611_164443
1,No Lie - Sean Paul (Dua Lipa) Dance,20240613_100000
56,No Lie - Sean Paul (Dua Lipa) Dance,20240613_100443
59,Amaarae - SAD GIRLZ LUV MONEY ft Moliy _ Redy Choreography,20240613_100814
42,Amaarae - SAD GIRLZ LUV MONEY ft Moliy _ Redy Choreography,20240613_100914
36,LE SSERAFIM - ‘SMART’ 🩵🌊 Mirrored Dance Cover _ Karina Balcerzak,20240613_101107
43,Ariana grande - Positions Choreography (choreo by 1million tina boo),20240613_101445
47,ZICO (지코) ‘SPOT! (feat. JENNIE)’ dance cover (solo ver.) #kpop #Zico #Jennie #shorts,20240613_101602
50,Amaarae - SAD GIRLZ LUV MONEY ft Moliy _ Redy Choreography,20240613_102516
35,No Lie - Sean Paul (Dua Lipa) Dance,20240613_121634
34,No Lie - Sean Paul (Dua Lipa) Dance,20240613_121831
60,Gidle uh oh soojin chorus mirror dance,20240616_124351
77,Gidle uh oh soojin chorus mirror dance,20240616_124438
76,Gidle uh oh soojin chorus mirror dance,20240616_124522
74,Gidle uh oh soojin chorus mirror dance,20240616_124602
74,Gidle uh oh soojin chorus mirror dance,20240616_124648
76,Gidle uh oh soojin chorus mirror dance,20240616_125444
77,Gidle uh oh soojin chorus mirror dance,20240616_131905
79,Gidle uh oh soojin chorus mirror dance,20240616_131946
81,Gidle uh oh soojin chorus mirror dance,20240616_132048
86,Gidle uh oh soojin chorus mirror dance,20240616_132153
85,Gidle uh oh soojin chorus mirror dance,20240616_132303
1,Kelis – Milkshake _ Gyuri Choreography Beginner Class 분당무브댄스학원,20240617_113253
63,No Lie - Sean Paul (Dua Lipa) Dance,20240617_113326
37,LE SSERAFIM - ‘SMART’ 🩵🌊 Mirrored Dance Cover _ Karina Balcerzak,20240617_113948
28,Beyonce - Crazy In Love ft. JAY Z dance choreography Very _ Beginner Class,20240617_115804
4,ZICO (지코) ‘SPOT! (feat. JENNIE)’ dance cover (solo ver.) #kpop #Zico #Jennie #shorts,20240617_121551
48,Hip Hop - Tik Tok salute25,20240617_134505
2,KAI - Rover - Tik Tok nhan.pato,20240617_134648
37,[Dance Workout] Dua Lipa - Levitating (ft. DaBaby) _ MYLEE Cardio Dance Workout, Dance Fitness,20240617_135147
32,Kali Uchis - Sad girlz luv money - Tik Tok balladalcuore,20240617_135304
39,Beyonce - Crazy In Love ft. JAY Z dance choreography Very _ Beginner Class,20240617_135435
56,Doja Cat - So high (Dance Cover) _ Clarkie Capillo,20240617_143028
68,[Dance Workout] Dua Lipa - Levitating (ft. DaBaby) _ MYLEE Cardio Dance Workout, Dance Fitness,20240617_152001
9,KAI - Rover - Tik Tok nhan.pato,20240617_153807
49,Doja Cat - So high (Dance Cover) _ Clarkie Capillo,20240617_153951
21,Sabrina Carpenter - Espresso FULL BODY DANCE WORKOUT,20240617_154216
